best_C,auc_train,auc_val,auc_test,exp,keys,dim,gap_train_test,delta_val_vs_full,delta_test_vs_full
1.0,0.7978472951796016,0.827230302877078,0.790160262477128,SEM_only,SEM,1063,0.007687032702473617,-0.010462824900227874,-0.01990375073850359
0.01,0.6237820672633394,0.6763442778443604,0.6682619781001382,FRM_only,FRM,12,-0.04447991083679881,-0.16134884993294552,-0.14180203511549339
0.1,0.6021890874357715,0.6066966965346153,0.5897348938944623,CTX_only,CTX,9,0.012454193541309166,-0.23099643124269054,-0.22032911932116928
1.0,0.8033461683598997,0.8335617720557468,0.8045816388377434,SEM+FRM,SEM+FRM,1075,-0.0012354704778436698,-0.0041313557215590935,-0.005482374377888233
1.0,0.8098889160757341,0.8331626552827012,0.7976980193760432,SEM+CTX,SEM+CTX,1072,0.012190896699690867,-0.004530472494604698,-0.012365993839588363
0.01,0.6549759583800325,0.6977024225109815,0.6834536449102038,FRM+CTX,FRM+CTX,21,-0.028477686530171242,-0.1399907052663244,-0.12661036830542782
1.0,0.8136506750392531,0.8376931277773059,0.8100640132156316,SEM+FRM+CTX,SEM+FRM+CTX,1084,0.003586661823621551,0.0,0.0
10.0,0.5997259211131607,0.5908394036485238,0.5970934023177067,CTX_context_only,C_CTX,2,0.0026325187954540086,-0.24685372412878204,-0.2129706108979249
0.01,0.5001132992500336,0.48736752802978633,0.4739469510551282,CTX_metadata_only,C_META,7,0.026166348194905376,-0.35032559974751953,-0.3361170621605034
0.1,0.6021890874357715,0.6066966965346153,0.5897348938944623,CTX_full_channel,C,9,0.012454193541309166,-0.23099643124269054,-0.22032911932116928
1.0,0.7956315797254322,0.8295383625076804,0.7895061250399127,SEM_embedding_only,E,1024,0.006125454685519505,-0.008154765269625441,-0.020557888175718908
0.1,0.5942607599526676,0.6382860789489906,0.6225281635204973,SEM_topic_only,T,39,-0.028267403567829752,-0.19940704882831528,-0.18753584969513426
1.0,0.5827560232853713,0.5992468481847857,0.5857409988585457,FRM_month_only,M,3,-0.002984975573174342,-0.23844627959252018,-0.2243230143570859
0.01,0.5993500561368144,0.6568771086787871,0.6444915987434442,FRM_surface_only,F,9,-0.045141542606629836,-0.18081601909851874,-0.1655724144721874
1.0,0.8012031086926343,0.8390491305645899,0.8064255081574786,SEM_embedding+framing_surface,E+F,1033,-0.005222399464844263,0.001356002787283983,-0.0036385050581529965
1.0,0.8033461683598997,0.8335617720557468,0.8045816388377434,FULL_no_channel,SEM+FRM,1075,-0.0012354704778436698,-0.0041313557215590935,-0.005482374377888233
1.0,0.8039317841176108,0.8331397877380533,0.8052756889355414,FULL_no_context,SEM+FRM+C_META,1082,-0.0013439048179305635,-0.0045533400392525625,-0.004788324280090239
1.0,0.8127946086238879,0.8393881667700204,0.8100279245225299,FULL_no_metadata,SEM+FRM+C_CTX,1077,0.0027666841013579413,0.0016950389927145038,-3.608869310167684e-05
1.0,0.8136506750392531,0.8376931277773059,0.8100640132156316,FULL_all,SEM+FRM+CTX,1084,0.003586661823621551,0.0,0.0
