holdout_channel,model,auc_test_mean,auc_test_std,auc_val_mean,auc_val_std,ap_test_mean,ap_test_std,brier_test_mean,brier_test_std,p10_mean,p10_std,r10_mean,r10_std,p20_mean,p20_std,r20_mean,r20_std,ndcg10_mean,ndcg10_std,ndcg20_mean,ndcg20_std,hit10_mean,hit10_std,hit20_mean,hit20_std,spearman_mean,spearman_std,kendall_tau_mean,kendall_tau_std,train_time_sec_mean,train_time_sec_std,infer_test_time_sec_mean,infer_test_time_sec_std,test_latency_ms_per_sample_mean,test_latency_ms_per_sample_std,model_artifact_size_bytes_mean,model_artifact_size_bytes_std,model_param_count_mean,model_param_count_std
TVBS NEWS,LR,0.8612014966157988,0.0,0.8517561440089338,0.0,0.5042813232741928,0.0,0.13260631547578114,0.0,0.5346534653465347,0.0,0.39999999997037033,0.0,0.4433497536945813,0.0,0.6666666666172839,0.0,0.5912983273944488,0.0,0.6702530506935449,0.0,1.0,0.0,1.0,0.0,0.42471881929384575,0.0,0.3469520820057845,0.0,79.9310985899996,1.144084927638174,0.002398166386410594,0.0014301404633589722,0.0023603999866246,0.001407618566298201,9393.0,0.0,1085.0,0.0
TVBS NEWS,MLP,0.8564644553747846,0.004402042070890981,0.8467400540020014,0.0025949529616914302,0.4895297540660793,0.008616878819967696,0.10544196218252182,0.03326066377814817,0.5207920792079208,0.023844741740182775,0.38962962960076813,0.017839399374667157,0.4246305418719212,0.015342277342263514,0.6385185184712208,0.023070239261102077,0.5758351705327638,0.018118206440814286,0.645994847146955,0.015894948507688814,1.0,0.0,1.0,0.0,0.4191487688325938,0.005176141650429885,0.34240191724590463,0.004228381321457324,3.171929566585459,0.5234470674594884,0.0009813006035983562,3.3995303108808644e-05,0.0009658470507857838,3.34599440047329e-05,1180614.0,0.0,294273.0,0.0
TVBS NEWS,RF,0.8560642367679826,0.003104920891483865,0.8332476458418189,0.002898093120286974,0.507176193508289,0.013264601449903476,0.11331312857425427,0.011823686719560321,0.5762376237623762,0.017711429524750827,0.4311111110791769,0.013250773199017235,0.41871921182266014,0.018099677902338754,0.6296296295829904,0.027216552695574804,0.6038851551279665,0.02128933788237513,0.6331440146170679,0.01555227887726538,1.0,0.0,1.0,0.0,0.41867817174002087,0.0036509215697810155,0.34201748728039116,0.0029824316284863825,240.0411544072209,1.806326940770957,0.08312934823334217,0.016660532165966583,0.08182022463911631,0.016398161580675766,126935863.8,78691624.6510113,,
TVBS NEWS,XGB,0.8420128641695044,0.003976484008447535,0.8398325452421863,0.0042862571265635625,0.46279682774809683,0.016439581928517688,0.10761932432651519,0.008378276365986707,0.48118811881188117,0.005422995618863035,0.3599999999733333,0.004057204129367339,0.4059113300492611,0.010214995740555505,0.6103703703251577,0.015360326927253126,0.5413781882785065,0.012665104681966322,0.6190494147977061,0.008844296313855526,1.0,0.0,1.0,0.0,0.40215586373355255,0.004675749156170148,0.3285204419365658,0.003819611542919709,49.311588164791466,6.324082579987208,0.0011581465834751726,0.00014304094832585693,0.001139908054601548,0.00014078833496639472,1001759.2,230633.5695062625,,
三立LIVE新聞,XGB,0.883967883967884,0.0036596677024795673,0.8186132936929283,0.004905543517583329,0.38613743706608306,0.019400920331017722,0.0812319576740265,0.011398593594941525,0.24838709677419354,0.014426245016127673,0.5923076920798817,0.034401045794457887,0.17258064516129032,0.004417117399235228,0.823076922760355,0.021066252203634745,0.5795136271501191,0.0204062925338349,0.6893884762420986,0.018185438172278193,1.0,0.0,1.0,0.0,0.2666086865352904,0.0025410958573694326,0.2178605627561121,0.002076468627853408,46.246453564194965,5.764936385530876,0.0005967162316665054,6.948803668894966e-05,0.0009624455349459763,0.00011207747853056402,590332.2,209238.422822387,,
三立LIVE新聞,RF,0.8787101787101786,0.010914218364257995,0.789562539817371,0.0060588936600361794,0.3408731833862858,0.02103886384026054,0.07539136040645271,0.028207385723396892,0.25806451612903225,0.011404948083653983,0.615384615147929,0.02719641465056093,0.16129032258064516,0.0057024740418269914,0.7692307689349113,0.027196414650560895,0.5774145767199588,0.021614103871633348,0.6522845778644879,0.02283541542564977,1.0,0.0,1.0,0.0,0.26295799086131644,0.007578304186757323,0.2148773793335495,0.006192647495172322,330.5881000561873,0.8436048276714432,0.08072776943445206,0.020096749651637234,0.1302060797329872,0.03241411234135039,166305591.8,106669665.85720174,,
三立LIVE新聞,LR,0.8618881118881119,0.0,0.8586040914560771,0.0,0.3228764340212319,0.0,0.04528743721118465,0.0,0.24193548387096775,0.0,0.5769230767011834,0.0,0.1532258064516129,0.0,0.7307692304881657,0.0,0.5443146113858125,0.0,0.6194048890607252,0.0,1.0,0.0,1.0,0.0,0.25127756307685295,0.0,0.2053326619298331,0.0,95.9706176728243,2.2128525598350883,0.0012055417988449334,0.0004287365424588383,0.0019444222562015057,0.0006915105523529649,9393.0,0.0,1085.0,0.0
三立LIVE新聞,MLP,0.8608521108521108,0.009264578104046555,0.8351206908756282,0.007704907386761014,0.3448839502836383,0.010277092994360927,0.03421170860528946,0.000488369925629465,0.25806451612903225,0.011404948083653983,0.615384615147929,0.02719641465056093,0.1564516129032258,0.004417117399235205,0.746153845866864,0.021066252203634773,0.5404292289326579,0.007920843061962373,0.602900952862088,0.00713849555727499,1.0,0.0,1.0,0.0,0.2505582141755773,0.006432873953150888,0.20474484253622474,0.0052566537039185285,3.57071798061952,0.33621817977667484,0.0007206330075860024,4.3885679729222016e-05,0.0011623113025580685,7.078335440197108e-05,1180614.0,0.0,294273.0,0.0
中天新聞,LR,0.7535412471386034,0.0,0.812700967400632,0.0,0.41957015808452364,0.0,0.1436417098140878,0.0,0.47317073170731705,0.0,0.22663551401339635,0.0,0.42092457420924567,0.0,0.4042056074671915,0.0,0.49572458069595876,0.0,0.44377510095295625,0.0,1.0,0.0,1.0,0.0,0.3565229008867348,0.0,0.29117047931911594,0.0,59.36125322321895,1.2664164858694107,0.004924835823476315,0.0013716048311732145,0.0023941836769452184,0.000666798653949059,9353.0,0.0,1080.0,0.0
中天新聞,MLP,0.7492900294315072,0.0022642581469535144,0.8110156845040134,0.004589915875691308,0.41809713243370145,0.003944182651737374,0.14973777532577515,0.0024734237956143303,0.47609756097560973,0.014876049445831119,0.22803738317224212,0.007125210598888156,0.4345498783454988,0.007009664375127978,0.4172897196164184,0.006731243126425859,0.4996459819292582,0.007955069174946143,0.4559104370884115,0.00839823160644197,1.0,0.0,1.0,0.0,0.3505449525791505,0.0031839390711326195,0.2862883186788457,0.0026003071981035575,2.556320057809353,0.44606089743760313,0.0016216609859839083,2.239695921335288e-05,0.0007883621711151718,1.0888166851411217e-05,1175494.0,0.0,292993.0,0.0
