feature_name,family,importance_mean,importance_std
channel_log_total_views,channel_metadata,0.1117743304710938,0.0017539586737508814
channel_log_video_count,channel_metadata,0.10075571635338827,0.002374369879377276
channel_log_subscribers,channel_metadata,0.08551899842643751,0.0012234952392901552
channel_topic_count,channel_metadata,0.027425891510218736,0.00063811305407494
log_duration_seconds,framing,0.02368312597869681,0.0005017814255954995
topic_month_max_prob,topic_monthly,0.011393362930841772,0.0002882784372194
channel_recent_performance,channel_context,0.009794069791230644,0.0005155014990257395
title_len,framing,0.005168651305789436,0.0003318576519228775
topic_month_mean_prob,topic_monthly,0.004964054705678929,0.0001967337747754579
ocr_len,framing,0.004061297242728381,0.0002882991953003531
channel_size_log,channel_context,0.003975477852536471,0.0003258633946388245
ocr_exclaim,framing,0.002349541219501585,0.0002936363791531677
topic_Sport,topic,0.0016568342902813372,0.00045924195031205446
topic_Television program,topic,0.0015153952930785453,0.0002692908755818519
topic_Music of Asia,topic,0.001472251379974403,0.0003075969222712032
channel_log_description_len,channel_metadata,0.001085834686061975,0.00028945238989935775
question,framing,0.0010721687822768011,0.00019542176497221427
topic_Baseball,topic,0.0010313766091734533,0.00029597126683256046
topic_Humour,topic,0.0009790025945620527,0.00019762476925301082
topic_Health,topic,0.0009418766502811172,0.00010588139818450612
topic_Pet,topic,0.0008512438410225332,0.00012767573683050395
topic_Music,topic,0.0006805228128341367,8.754516919975847e-05
topic_Lifestyle (sociology),topic,0.0005943831653657172,0.00022863827375572526
topic_Politics,topic,0.00046857463524142774,0.00013678675243082296
ocr_digit_ratio,framing,0.0003722393344768382,2.5205930591520296e-05
topic_Entertainment,topic,0.00023909834670777342,3.1682326364107315e-05
topic_month_mean_delta_vs_global,topic_monthly,0.00023721982268276598,4.086086890368531e-05
topic_Society,topic,0.00016954993814744635,0.000148830026884183
exclaim,framing,0.00016291535456794515,4.585372552338779e-05
topic_Knowledge,topic,0.00012484297833543988,5.272274200577713e-05
digit_ratio,framing,9.481049373169403e-05,1.0668790033961598e-05
topic_Performing arts,topic,9.101998596618531e-05,4.421819138403304e-05
ocr_question,framing,7.647456966040523e-05,6.312620294618926e-05
topic_Fashion,topic,6.225897054984442e-05,5.2706931145867855e-05
topic_Religion,topic,5.336346619720267e-05,1.3601498010924853e-05
topic_Pop music,topic,3.2173906393222486e-05,4.5895010643261344e-05
topic_Technology,topic,2.014274870614674e-05,1.6529006822833992e-05
topic_Golf,topic,9.258781263350446e-06,3.0925358092631268e-06
topic_Vehicle,topic,6.639363538925024e-06,1.034313788050891e-05
topic_Film,topic,4.2685037007572646e-06,2.888841900104308e-06
topic_Electronic music,topic,2.858415692066352e-06,1.5652365367373104e-05
topic_Military,topic,1.6873256511118485e-06,1.3690432773046876e-06
channel_country_tw,channel_metadata,0.0,0.0
channel_has_custom_url,channel_metadata,0.0,0.0
topic_Volleyball,topic,0.0,0.0
topic_Role-playing video game,topic,0.0,0.0
topic_Classical music,topic,0.0,0.0
topic_Boxing,topic,0.0,0.0
topic_Action game,topic,0.0,0.0
topic_Association football,topic,0.0,0.0
topic_Jazz,topic,0.0,0.0
topic_Motorsport,topic,0.0,0.0
topic_Physical fitness,topic,0.0,0.0
topic_Basketball,topic,-1.586946504537057e-06,1.607925324746546e-06
topic_Tourism,topic,-4.292403497287989e-06,4.181675869547769e-05
topic_Tennis,topic,-2.5233405414986088e-05,5.241618294717581e-06
topic_Hobby,topic,-6.516996579448264e-05,5.025757439458657e-05
topic_Business,topic,-0.00020367406795560147,6.864583317175407e-05
topic_Food,topic,-0.00029934973432971246,1.8408215516610462e-05
topic_Video game culture,topic,-0.0008090750396257307,8.003230733846381e-05
